Passes From v to >,PICKFORD Jordan,WALKER Kyle,SHAW Luke,RICE Declan,STONES John ,MAGUIRE Harry,HENDERSON Jordan ,KANE Harry,SAKA Bukayo,FODEN Phil,BELLINGHAM Jude
PICKFORD Jordan,,1,4,3,3,7,0,0,1,0,0
WALKER Kyle,1,,2,5,13,4,2,1,5,0,2
SHAW Luke,1,2,,8,6,17,1,1,0,4,6
RICE Declan,1,7,8,,5,14,2,6,2,6,2
STONES John ,4,6,6,11,,17,13,1,5,1,4
MAGUIRE Harry,4,4,15,7,25,,7,1,3,4,5
HENDERSON Jordan ,0,6,1,4,5,7,,1,5,2,5
KANE Harry,0,2,1,1,0,2,1,,2,1,1
SAKA Bukayo,0,2,0,2,1,0,6,4,,1,1
FODEN Phil,0,0,2,2,1,1,3,1,1,,6
BELLINGHAM Jude,0,1,10,4,3,5,3,1,4,3,
