Passes From v to >,PICKFORD Jordan,WALKER Kyle,SHAW Luke,RICE Declan,STONES John ,MAGUIRE Harry,HENDERSON Jordan ,KANE Harry,SAKA Bukayo,FODEN Phil,BELLINGHAM Jude
PICKFORD Jordan,,1,4,6,16,3,1,1,1,0,2
WALKER Kyle,5,,1,7,15,8,7,0,5,1,1
SHAW Luke,0,0,,4,3,13,1,5,0,11,5
RICE Declan,3,9,4,,12,6,4,2,1,0,3
STONES John ,9,18,4,8,,17,12,1,2,1,1
MAGUIRE Harry,7,6,16,2,11,,0,1,0,7,6
HENDERSON Jordan ,2,10,0,4,9,0,,1,6,0,2
KANE Harry,1,1,2,1,0,0,4,,2,3,2
SAKA Bukayo,0,8,2,2,1,0,3,3,,1,1
FODEN Phil,0,1,7,1,1,3,0,8,1,,2
BELLINGHAM Jude,1,1,3,2,2,8,2,2,3,3,
